entry_date,exit_date,position,gross_return,net_return,gross_equity,net_equity,ticker,model,horizon,cost_bps,strategy
2021-02-01,2021-02-08,-1,-0.020650099038800995,-0.021150099038800996,1.099773499863479,1.0726201567820548,AAPL,LightGBM,5,5.0,sign
2021-02-08,2021-02-16,-1,0.027171142511134505,0.026671142511134505,1.1296556023582387,1.1012281618439044,AAPL,LightGBM,5,5.0,sign
2021-02-16,2021-02-23,1,-0.05503417446275183,-0.05553417446275183,1.0674859388552305,1.0400723649807695,AAPL,LightGBM,5,5.0,sign
2021-02-23,2021-03-02,1,-0.0058795317033286665,-0.006379531703328667,1.0612096214348736,1.0334371903546187,AAPL,LightGBM,5,5.0,sign
2021-03-02,2021-03-09,1,-0.032209129797205804,-0.032709129797205805,1.0270289829960342,0.9996343591580499,AAPL,LightGBM,5,5.0,sign
2021-03-09,2021-03-16,1,0.036997303595852404,0.036497303595852404,1.065026286081678,1.0361183178490867,AAPL,LightGBM,5,5.0,sign
2021-03-16,2021-03-23,1,-0.024129957686236825,-0.024629957686236825,1.039327246863797,1.010598767522529,AAPL,LightGBM,5,5.0,sign
2021-03-23,2021-03-30,-1,0.021543980495547066,0.021043980495547066,1.0617184927987213,1.031865788275097,AAPL,LightGBM,5,5.0,sign
2021-03-30,2021-04-07,-1,-0.06672226770800593,-0.06722226770800593,0.9908782272916645,0.9625014300169359,AAPL,LightGBM,5,5.0,sign
2021-04-07,2021-04-14,1,0.032290830368616685,0.031790830368616685,1.0228745080450952,0.9931001497081553,AAPL,LightGBM,5,5.0,sign
2021-04-14,2021-04-21,1,0.011133842568312069,0.010633842568312069,1.034263031784809,1.003660620354719,AAPL,LightGBM,5,5.0,sign
2021-04-21,2021-04-28,1,0.0005992646520951439,9.926465209514389e-05,1.0348828290607264,1.00376024837702,AAPL,LightGBM,5,5.0,sign
2021-04-28,2021-05-05,1,-0.04102407285837506,-0.04152407285837506,0.9924277204814578,0.9620800346910721,AAPL,LightGBM,5,5.0,sign
2021-05-05,2021-05-12,1,-0.04160819052687725,-0.042108190526877254,0.9511345988035108,0.9215685852881957,AAPL,LightGBM,5,5.0,sign
2021-05-12,2021-05-19,-1,-0.01563904741255273,-0.01613904741255273,0.9362597597171034,0.9066953461963104,AAPL,LightGBM,5,5.0,sign
2021-05-19,2021-05-26,1,0.017322928786771552,0.01682292878677155,0.9524785208606026,0.9219486174366682,AAPL,LightGBM,5,5.0,sign
2021-05-26,2021-06-03,1,-0.02609379265596945,-0.02659379265596945,0.9276247438280015,0.8974305070650999,AAPL,LightGBM,5,5.0,sign
2021-06-03,2021-06-10,1,0.02080297616786897,0.02030297616786897,0.946922099266581,0.9156510172623612,AAPL,LightGBM,5,5.0,sign
2021-06-10,2021-06-17,-1,-0.04503998610967419,-0.04553998610967419,0.9042727410686706,0.8739522826549243,AAPL,LightGBM,5,5.0,sign
2021-06-17,2021-06-24,-1,-0.012292362535138102,-0.012792362535138102,0.8931570927048115,0.862772368216791,AAPL,LightGBM,5,5.0,sign
2021-06-24,2021-07-01,1,0.028933367096877438,0.028433367096877438,0.9189991347432196,0.8873038916833415,AAPL,LightGBM,5,5.0,sign
2021-07-01,2021-07-09,-1,-0.05711368903529257,-0.05761368903529257,0.8665117039377924,0.8361830411880925,AAPL,LightGBM,5,5.0,sign
2021-07-09,2021-07-16,-1,-0.008820886044469844,-0.009320886044469845,0.8588683029411578,0.8283890743488601,AAPL,LightGBM,5,5.0,sign
2021-07-16,2021-07-23,1,0.014823404453806921,0.01432340445380692,0.8715996551682094,0.8402544261058736,AAPL,LightGBM,5,5.0,sign
2021-07-23,2021-07-30,-1,0.018174454716029964,0.017674454716029964,0.8874405036315712,0.8551054649100256,AAPL,LightGBM,5,5.0,sign
2021-07-30,2021-08-06,1,0.001919640601434347,0.001419640601434347,0.8891440704536997,0.8563194073465203,AAPL,LightGBM,5,5.0,sign
2021-08-06,2021-08-13,1,0.020254596457024876,0.019754596457024876,0.9071533247928959,0.8732356516769696,AAPL,LightGBM,5,5.0,sign
2021-08-13,2021-08-20,-1,0.006103310696564224,0.005603310696564223,0.9126899633835281,0.8781286623446324,AAPL,LightGBM,5,5.0,sign
2021-08-20,2021-08-27,-1,-0.002766743068726818,-0.003266743068726818,0.9101647847534402,0.8752600416234677,AAPL,LightGBM,5,5.0,sign
2021-08-27,2021-09-03,-1,-0.03835798596314688,-0.03885798596314688,0.8752526967157171,0.8412491992119597,AAPL,LightGBM,5,5.0,sign
2021-09-03,2021-09-13,-1,0.030784186040532235,0.030284186040532235,0.9021966385638913,0.8667257464673436,AAPL,LightGBM,5,5.0,sign
2021-09-13,2021-09-20,1,-0.044199267639358775,-0.044699267639358775,0.862320207872676,0.8279837403560768,AAPL,LightGBM,5,5.0,sign
2021-09-20,2021-09-27,1,0.017000088388674506,0.016500088388674505,0.8769797276258517,0.8416455452563374,AAPL,LightGBM,5,5.0,sign
2021-09-27,2021-10-04,1,-0.04285613219231976,-0.04335613219231976,0.8393957684887337,0.8051550497371266,AAPL,LightGBM,5,5.0,sign
2021-10-04,2021-10-11,1,0.026376298584476876,0.025876298584476876,0.8615359219089389,0.8259894822109238,AAPL,LightGBM,5,5.0,sign
2021-10-11,2021-10-18,1,0.026188681164493133,0.025688681164493132,0.8840984114795698,0.8472080626646651,AAPL,LightGBM,5,5.0,sign
2021-10-18,2021-10-25,-1,-0.014261318965326009,-0.014761318965326009,0.8714900020367217,0.8347021542216762,AAPL,LightGBM,5,5.0,sign
2021-10-25,2021-11-01,1,0.002152901813325947,0.001652901813325947,0.8733662344424019,0.8360818349259763,AAPL,LightGBM,5,5.0,sign
2021-11-01,2021-11-08,1,0.009935524038891419,0.009435524038891419,0.8820435856594605,0.8439707051779008,AAPL,LightGBM,5,5.0,sign
2021-11-08,2021-11-15,1,-0.0029247702357464433,-0.0034247702357464434,0.8794638108334927,0.8410802994269657,AAPL,LightGBM,5,5.0,sign
2021-11-15,2021-11-22,1,0.07346669514973958,0.07296669514973958,0.9440751105192251,0.9024511492317049,AAPL,LightGBM,5,5.0,sign
2021-11-22,2021-11-30,1,0.026580540713778023,0.026080540713778022,0.9691691374312459,0.9259875631714382,AAPL,LightGBM,5,5.0,sign
2021-11-30,2021-12-07,1,0.03557162441299133,0.03507162441299133,1.003644057980613,0.958463451198088,AAPL,LightGBM,5,5.0,sign
2021-12-07,2021-12-14,-1,-0.018401736710198513,-0.018901736710198513,0.9851752642748985,0.9403468273971936,AAPL,LightGBM,5,5.0,sign
2021-12-14,2021-12-21,-1,0.007686550357460686,0.007186550357460686,0.992747863554672,0.9471046772257619,AAPL,LightGBM,5,5.0,sign
2021-12-21,2021-12-29,-1,-0.03693854666014773,-0.03743854666014773,0.9560772002749958,0.911646454575401,AAPL,LightGBM,5,5.0,sign
2021-12-29,2022-01-05,-1,0.024863455192683626,0.024363455192683625,0.9798485829047795,0.9338573121230178,AAPL,LightGBM,5,5.0,sign
2022-01-05,2022-01-12,-1,-0.0034873120097016486,-0.003987312009701649,0.9764315451739265,0.930133731647042,AAPL,LightGBM,5,5.0,sign
2022-01-12,2022-01-20,1,-0.06278131572436785,-0.06328131572436785,0.9151298880531299,0.8712736453088011,AAPL,LightGBM,5,5.0,sign
2022-01-20,2022-01-27,-1,0.0321560601955585,0.0316560601955585,0.9445568598201209,0.8988547362715001,AAPL,LightGBM,5,5.0,sign
2022-01-27,2022-02-03,1,0.08591880775593452,0.08541880775593452,1.0257120590735551,0.9756338361895867,AAPL,LightGBM,5,5.0,sign
2022-02-03,2022-02-10,-1,0.004511271294571961,0.004011271294571961,1.0303393244421502,0.979547368190707,AAPL,LightGBM,5,5.0,sign
2022-02-10,2022-02-17,-1,0.018824020022595644,0.018324020022595644,1.0497344525155168,0.9974966137785143,AAPL,LightGBM,5,5.0,sign
2022-02-17,2022-02-25,1,-0.023863090139613186,-0.024363090139613186,1.0246845446524815,0.9731945138630693,AAPL,LightGBM,5,5.0,sign
2022-02-25,2022-03-04,-1,0.010191130557285932,0.009691130557285932,1.035127238627068,0.9826258689545508,AAPL,LightGBM,5,5.0,sign
2022-03-04,2022-03-11,-1,0.05172521012513287,0.05122521012513287,1.0886694125513017,1.032961085566139,AAPL,LightGBM,5,5.0,sign
2022-03-11,2022-03-18,1,0.059781556617426235,0.059281556617426234,1.1537517646753974,1.0941966266437262,AAPL,LightGBM,5,5.0,sign
2022-03-18,2022-03-25,1,0.06549582737524351,0.06499582737524351,1.2293176910884598,1.1653148417036356,AAPL,LightGBM,5,5.0,sign
2022-03-25,2022-04-01,1,-0.002346632665091719,-0.002846632665091719,1.2264329340387765,1.161997618410126,AAPL,LightGBM,5,5.0,sign
2022-04-01,2022-04-08,-1,0.024209748607704418,0.023709748607704417,1.2561245670560646,1.1895482898253813,AAPL,LightGBM,5,5.0,sign
2022-04-08,2022-04-18,1,-0.029513722862921754,-0.030013722862921755,1.2190516547026644,1.1538455171224997,AAPL,LightGBM,5,5.0,sign
2022-04-18,2022-04-25,1,-0.013267113008026965,-0.013767113008026965,1.202878358637102,1.1379603954944688,AAPL,LightGBM,5,5.0,sign
2022-04-25,2022-05-02,1,-0.03020627468967174,-0.030706274689671742,1.1665438845178482,1.103017871004448,AAPL,LightGBM,5,5.0,sign
2022-05-02,2022-05-09,-1,0.03735128453090575,0.03685128453090575,1.2101157970662622,1.1436654964115067,AAPL,LightGBM,5,5.0,sign
2022-05-09,2022-05-16,1,-0.042877840175872484,-0.043377840175872484,1.1582286453253565,1.0940557572935086,AAPL,LightGBM,5,5.0,sign
2022-05-16,2022-05-23,1,-0.016696391286784462,-0.017196391286784463,1.138890406663442,1.0752419464015301,AAPL,LightGBM,5,5.0,sign
2022-05-23,2022-05-31,1,0.040039100713445075,0.039539100713445074,1.184490554357416,1.117756046011621,AAPL,LightGBM,5,5.0,sign
